Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2014-04-03,60.605281829833984,60.90134978971996,60.24640390069933,60.76677655569323,1006492
2014-04-04,60.4168586730957,60.7488219172981,60.22844932207047,60.524524092978574,960125
2014-04-07,59.33127212524414,59.66323544833972,59.0890334292211,59.57351766629518,1170859
2014-04-08,58.7929573059082,59.05314365968333,58.11108985618816,58.945478216560836,1460127
2014-04-09,59.160804748535156,59.41201725230371,58.40716039220212,58.40716039220212,1217499
2014-04-10,59.03520584106445,60.26435386527958,58.95445504336294,59.73501414434598,1322960
2014-04-11,56.99857711791992,58.12904036852021,56.59484366521963,58.11109270460613,2183935
2014-04-14,56.316707611083984,56.58586436102627,55.679702504300714,56.460258105887455,1674590
2014-04-15,55.401573181152344,56.69352766371715,55.34774046093612,56.307735058452145,1633010
2014-04-16,52.485694885253906,54.45054274372524,51.776912885058366,53.759704981542505,6224330
2014-04-17,53.00606918334961,53.38288792590241,52.56644389452445,53.17653431605013,3053937
2014-04-22,53.40083694458008,53.45466966512648,53.05093281731313,53.31111574366941,1892575
2014-04-23,53.34699630737305,53.7507330952721,52.64718815669024,52.92531870446812,2059190
2014-04-24,54.5941047668457,54.77354376239489,53.56233653183771,53.99298806764724,2366842
2014-04-25,53.932518005371094,54.875046482673795,53.80563983672858,54.54878635920972,1486387
2014-04-28,53.687828063964844,54.304092980077776,53.56094643414801,53.83283218372746,1181283
2014-04-29,54.09564208984375,54.39471498903024,53.905324857908944,54.05939365793028,1299677
2014-04-30,53.86001205444336,54.29502435459851,53.57906509808109,54.150020254546796,1164948
2014-05-02,53.05342483520508,53.633441216863254,52.953733871388145,53.4703111773756,1691714
2014-05-05,52.61841583251953,53.01717625550087,52.13808692753389,53.01717625550087,1278388
2014-05-06,52.17434310913086,52.8631152548588,52.11996526904576,52.50966448006189,1378952
2014-05-07,52.56404495239258,52.90843104250234,52.11996787905333,52.246849512272405,1672954
2014-05-08,53.37062454223633,53.40687643332279,52.36465703619591,52.60935211527362,1361531
2014-05-09,53.080623626708984,53.370631880936905,52.89936760352376,53.10781082017689,1149098
2014-05-12,53.86001205444336,54.086581176847325,53.01717464252699,53.19843063188425,1059272
